slang;formal
kkrgan;kekurangan
kokokh;kokoh
komplek;kompleks
komplen;komplain
komplin;komplain
komplit;komplet
komplit;komplet
kondisibrussk;kondisi rusak
konfimasi;konfirmasi
kordinasi;koordinasi
korekapielektriknya;korek api elektriknya
ksong;kosong
kualias;kualitas
kudu;harus
kulitt;kulit
kullirr;kurir
kumel;kumal
kuriri;kurir
kurleb;kurang lebih
kuuu;ku
kuuuh;ku
kwalitas;kualitas
kwalitasnya;kualitasnya
kwantitas;kuantitas
kwintal;kuintal
lagiiiiiiii;lagi
lakuemas;laku emas
lamaa;lama
lamaaa;lama
lamaaaaa;lama
lancaarr;lancar
lancarr;lancar
lembab;lembap
leptop;laptop
lipet;lipat
lmbat;lambat
lmbr;lembar
lmyan;lumayan
lmyn;lumayan
lngganan;langganan
lngsg;langsung
lobang;lubang
lqma;lama
lrbih;lebih
lsgi;lagi
lsng;langsung
lualitas;kualitas
luamaaaaaaaa;lama
luamg;luang
luarbiasa;luar biasa
lubangi;dilubangi
lucin;licin
lumayannj;lumayan
lunturrrrr;luntur
maaantap;mantap
mantabbsss;mantap
mantappissan;mantap banget
mantaaaappppp;mantap
mantappp;mantap
mash;masih
mateng;matang
matiin;mematikan
matiinya;matinya
matrial;material
maturnuwun;terima kasih
mdh;mudah
mdh;mudah
mefet;mepet
meledagh;meledak
melembabkan;melembapkan
mencetnya;memencet
mengantri;mengantre
mengkilap;mengilap
meresappp;meresap
mesen;pesan
mesennya;memasannya
mesn;mesin
mie;mi
min;admin
minesnya;minusnya
minesnya;minusnya
minn;admin
minnn;admin
minnnn;admin
minumnyaaa;minumnya
minusny;minusnya
mkn;makan
mks;terima kasih
muter;memutar
nabung;menabung
naro;taruh
naruh;taruh
nekan;tekan
nekuk;tekuk
nembus;menembus
nemplok;menemplok
nemu;ketemu
nenangin;menenangkan
nerka;terka
ngancing;mengancing
ngasal;mengasal
ngebaca;membaca
ngedrop;mengedrop
ngecewakan;mengecewakan
nomer;nomor
nugas;menugas
nunda;menunda
nungguin;menunggu
nunnggu;nunggu
nyesal;menyesal
nyesallll;menyesal
nyeseell;menyesal
orangtua;orang tua
orii;ori
otodidak;autodidak
pake;pakai
pakee;pakai
pakeet;paket
pakenya;pakainya
paketbtelah;paket telah
pakety;paket
peketnya;paketnya
pelangan;pelanggan
pelapakpun;pelapak pun
pelayana;pelayanan
pelayananan;pelayanan
pemaikan;pemakaian
pembekian;pembelian
pembeliannselanjutnya;pembelian selanjutnya
pembeluan;pembelian
pemjual;penjual
penfiriman;pengiriman
pengantarannyabjuga;pengantarannya juga
pengenin;pengin
pengepakkan;pengepakan
penggunaanya;penggunaannya
pengirimah;pengiriman
pengirimanny;pengirimannya
pengirimn;pengiriman
pengirimsn;pengiriman
pengiruman;pengiriman
penguriman;pengiriman
peniriman;pengiriman
penjilitannya;penjilidannya
penjualr;penjual
penjualramah;penjual ramah
penyokin;penyok
perfoma;performa
pmakaian;pemakaian
pnas;panas
pngirimn;pengiriman
pngriman;pengiriman
pngrman;pengiriman
pntg;penting
poll;pol
poolll;pol
pooolllll;pol
postighan;postingan
potonganny;potongannya
promoooooo;promo
punyailah;mempunyai
rapu;rapuh
rejekinya;rezekinya
rekomendes;rekomendasi
rendem;random
resletingnya;ritsletingnya
resletingnya;ritsletingnya
respon;respons
respon;respons
retsluiting;ritsleting
riber;ribet
ridak;tidak
rrkomendasi;rekomendasi
rwspon;respon
saia;saya
sajadahny;sajadahnya
sampoo;sampo
sampsi;sampai
sangatcberguna;sangat berguna
sangsi;sanksi
saos;saus
sayaaaaa;saya
sbelumnya;sebelumnya
sbesar;sebesar
sblmnya;sebelumnya
sbnrnya;sebenarnya
sdgkan;sedangkan
seauai;sesuai
sebelym;sebelum
seblum;sebelum
seboga;semoga
sediain;menyediakan
sedikitpun;sedikut pun
seduai;sesuai
seharunya;seharusnya
sekaliiiiii;sekali
sekluarga;sekeluarga
selalunmemuaskan;selalu memuaskan
selaluuuuu;selalu
sellu;selalu
semebtara;sementara
semept;sempat
semiga;semoga
semogo;semoga
semopat;sempat
sempuran;sempurna
senterin;menyenteri
sepatuny;sepatunya
sepatunyaharga;sepatunya harga
sepeeti;seperti
sepeti;seperti
seppppppp;sip
sereh;serai
seringkali;sering kali
serumny;serumnya
seruuuuu;seru
setatus;status
setaun;setahun
setelahny;setelahnya
setelaj;setelah
setingin;setingan
setres;stres
setrikaan;setrikaan
setrikana;setrikaan
seuai;sesuai
sgini;segini
sgitu;segitu
sgni;segini
sgr;segera
shampo;sampo
shampo;sampo
shampoo;sampo
shg;sehingga
siapapun;siapa pun
siapin;siapkan
sieh;sih
siiiip;sip
siiip;sip
siiippp;sip
siipppp;sip
sikecil;si kecil
silelet;si lelet
sinya;sinyal
sip lah;bagus
sipenjual;si penjual
siplah;sip
sleting;ritsleting
sooppaann;sopan
souvenir;suvenir
sptnya;sepertinya
spty;sepertinya
stalh;setelah
stokan;stok
stroom;setrum
suar;suara
suatw;suatu
sumut;sumatera utara
suppeeerrr;super
susuailah;sesuai
suwun;terima kasih
syrupnya;sirupnya
system;sistem
takerinnya;menakarnya
takute;takutnya
taliinnya;talinya
tambahhhhhjjan;tambahan
tanganannya;tangannya
tanggungjawab;tanggung jawab
tapigapap;tapi tidak apa
tapu;tapi
taro;taruh
tb tb;tiba tiba
tbel;tebal
teb mantap;mantap
tek tokan;koordinasi
teken;tekan
ter registrasi;teregistrasi
tereh;cepat
terima kasihbpengiriman;terima kasih pengiriman
terkonek;terkoneksi
thd;terhadap
thr;tunjangan hari raya
tiada tara;tidak tertandingi
tidakt;tidak
tokh;tokoh
tokonja;tokonya
tolerir;toleransi
tolongvdigsnti;tolong diganti
tq;terima kasih
tqyuuuuuuuuuuuu;terima kasih
trx;transaksi
trys;terus
ts;terima kasih
ttd;tanda tangan
ttpi;tapi
tumblernya;tumbler
tumblr;tumbler
tumblrnya;tumbler
uapikkkk;bagus
ucing;kucing
ugaa;juga
untukko;untuk toko
untukmbol;tombol
usilin;usil
utnk;untuk
variant;varian
vedio;video
vermak;permak
videoin;video
vidio;video
vit;vitamin
vit di;vitamin d
vitur;fitur
vocalnya;vokal
vol;volume
vulkanisir;vulkanisasi
vulkanisir;vulkanisasi
yakali;ya kali
yasudahlah;ya sudahlah
yaudahlah;ya sudahlah
aamanah;amanah
aamiim;amin
aammaannn;aman
abak;bapak
abangg;abang
abangkuh;abangku
abiieess;habis
abisin;habis
adabya;adanya
adak;agak
adata;data
adeem;adem
adm;admin
adminn;admin
adminya;adminnya
ads;ada
aemoga;semoga
aestetik;estetik
aesuai;sesuai
affiliauntukr;afiliator
aga;agak
agaakk;agak
agankuh;agan
agian;bagian
agutus;agustus
ahamdulilah;alhamudulillah
ajieb;ajib
ajiiib;ajib
akak;kakak
akhirny;akhirnya
aktifasi;aktivasi
aktifin;mengaktifkan
akucocok;aku cocok
akuuuu;aku
alhamdulilaahhhh;alhamudulillah
alhamdulilah;alhamudulillah
alhamdulillaah;alhamudulillah
alhamlillahh;alhamdulillah
alhamsulilah;alhamdulillah
alhmdulaillah;alhamdulillah
alhmduliah;alhamdulillah
alhmdulillah;alhamdulillah
alkhamdulillah;alhamdulillah
allhamdaulilah;alhamdulillah
alumnium;aluminium
alumuniumnya;aluminiumnya
alus;halus
pisan;sekali
amaaaannnn;aman
amam;aman
amann;aman
amannn;aman
amman;aman
amnh;amanah
anaku;anakku
ancur;hancur
ane;saya
angen;angan
anjj inggg;anjing
antigoresnya;anti goresnya
antislip;tidak slip
apagunanya;apa gunanya
apbl;apabila
apik cik;bagus
apr;april
asboos;penambah ASI
asibooster;penambah ASI
aslie;asli
aslii;asli
aslillllllllllllllllll;asli
assiikk;asik
audah;sudah
auk ah;tidak tahu
aweeettttt;awet
awett;awet
awettt;awet
awlooo;halo
baagusssss;bagus
baaik;baik
babang;abang
badang;barang
badayyy;badai
baeang;barang
baek;baik
bagettt;banget
baggus;bagus
bagsu;bagus
bagud;bagus
baguems;bagus
bagur;bagus
bagusbgt;bagus banget
bagush;bagus
baguspp;bagus
bagusppp;bagus
baguspppp;bagus
bagusss;bagus
bagusssss;bagus
bagussssss;bagus
bagusssssss;bagus
bagussssssss;bagus
bagussssssssses;bagus
bagussssssssss;bagus
bagusssssssssssses;bagus
bagussssssssssssssssssssssssssssssssssss;bagus
baguus;bagus
baguuss;bagus
baguussss;bagus
baguuusss;bagus
baguuussss;bagus
baguuusssss;bagus
baguuuuuus;bagus
baguuuuuussssssss;bagus
baguuuuuuuuuuuus;bagus
baham;bahan
bahanjya;bahannya
bahannyaa;bahannya
bahanya;bahannya
baiik;baik
baikz;baik
bail;baik
baim;baik
bakalan;akan
banarang;barang
banged;banget
bangeddd;banget
banger;sangat
bangetttttttt;banget
bangettttttttt;banget
bangetttttttttt;banget
bangetz;banget
banggettr;banget
bangusss;bagus
banyaaaaak;banyak
banyakk;banyak
barabgnya;barangnya
baramg;barang
baranf;barang
barangggnya;barangnya
barangny;barangnya
barangx;barangnya
baranh;barang
bararang;barang
barokah;berkah
barsng;barang
basahin;membasahi
baso;bakso
batre;baterai
batrei;baterai
batreinya;baterainya
batrenya;baterai
battre;baterai
bauk;bau
baunyaa;baunya
bauuu;bau
bawany;bawanya
bberapa;beberapa
bdg;Bandung
beba;bebas
beberapakali;beberapa kali
bebs;bebas
beegaransai;bergaransi
befungsi;berfungsi
bekel;bekal
belaja;belanja
belibet;berbelit
belii;beli
belm;belum
belnja;belanja
beneeeeeeeer;benar
berakah;berkah
berfungs;berfungsi
berfungsu;berfungsi
berfunsgsi;berfungsi
berfunsin;berfungsi
berkalinkali;berkali kali
berkwalitas;berkualitas
bermanfa at;bermanfaat
berpungsi;berfungsi
berpunsi;berfungsi
bersihin;bersih
bertaun;bertahun
berulanh;berulang
bet;banget
betuls;betul
bggttt;banget
bgr;Bogor
bgth;banget
bgtz;banget
bgusss;bagus
bguz;bagus
bhan;bahan
bhat;buat
biak;baik
biarbterhalang;biar terhalang
binun;bingung
birdong;biru dongker
biruu;biru
bissmillah;bismillah
biyar;biar
blanja;belanja
blend;blender
blendnya;campurnya
blumm;belum
bmyk;banyak
bneran;beneran
bngat;banget
bochel;bocil
bochor;bocor
bocilq;bocilku
boksnya;kardusnya
bolongin;membolongi
bongkae;bongkar
bonusan;bonus
bonusannya;bonusnya
boongan;bohong
booosss;bos
boos;bos
bosque;bosku
bossku;bosku
boz;bos
bqgus;bagus
brang;barang
bray;kawan
bre;kawan
brg;barang
brgnya;barangnya
brmanfaat;bermanfaat
brng;barang
brngnya;barangnya
bro;kawan
broo;kawan
brooo;kawan
bruntusan;beruntusan
bruntusanku;beruntusanku
bsknya;besoknya
buagus;bagus
buaguss;bagus
buangetz;banget
buatnlrmpar;buat lempar
bukaannya;bukannya
bukujya;bukunya
bukuu;buku
buleta;buletan
butex;butek
bykkk;banyak
bwangg;bang
cacad;cacat
cakeeeeeeeep;cakep
cakeeeppp;cakep
cakeppp;cakep
cakeppppp;cakep
cakeup;cakep
cakeuppp;cakep
capat;cepet
capekk;capek
cassannya;pengisi daya
cck;cocok
cekaliiii;sekali
celanan;celana
celananyaa;celananya
celat;cepat
ceoet;cepat
cepa;cepat
cepaaaaaaat;cepat
cepaaaat;cepat
cepaat;cepat
cepaattt;cepat
cepaet;cepat
cepatt;cepat
cepatttt;cepat
cepay;cepat
cepeettt;cepat
cepet;cepat
cepetttttttt;cepat
cepppaaattt;cepat
cept;cepat
ceritain;ceritakan
ceritain;ceritakan
ciamikkk;ciamik
ciwi;cewek
ciyus;serius
clna;celana
cocoookk;cocok
cocoookkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk?kkkkkkkkkkk;cocok
coklat;cokelat
coplok;copot
cot;cepat
cpat;cepat
cptbgt;cepat banget
cuepet;cepat
cuyy;cuy
cuyyyyy;cuy
daaahhhh;udah
daapt;dapat
dab;dan
dahhhhh;dah
dak;tidak
dalem;dalam
dalemannya;dalamannya
dalemnya;dalamnya
dalemnya;dalamnya
dam;dan
dangaaan;dengan
dangat;sangat
dannn;dan
dansangat;dan sangat
datngnya;datangnya
dbawa;dibawa
dcoba;dicoba
deakripsi;deskripsi
dekorny;dekornya
dekripsi;deskripsi
deksripsi;deskripsi
demgan;dengan
denggan;dengan
deskribsi;deskripsi
deskripai;deskripsi
deskrisi;deskripsi
dezkripsi;deskripsi
dibetulin;diperbaiki
diciba;di coba
dicobain;dicoba
diitung;dihitung
dik;di
dikat;di ikat
dilipet;di lipat
dimandiin;dimandikan
dipakainua;dipakainya
disnya;dusnya
ditggu;ditunggu
ditrima;diterima
ditrm;diterima
dituker;ditukar
diturutin;dituruti
dkrim;dikirim
dkt;dekat
dngn;dengan
doangg;doang
dpat;dapat
dqri;dari
dst;dan seterusnya
dtang;datang
dtgnya;datangnya
dtng;datang
durennya;duriannya
dus;kardus
ekpektasi;ekspektasi
ekpestasi;ekspektasi
ekpetasi;ekspektasi
ekspesitas;ekspektasi
ekspetasi;ekspektasi
ekspetasiii;ekspektasi
empukkk;empuk
enaaaaak;enak
enaaak;enak
enaak;enak
enakk;enak
enakkk;enak
enakkkk;enak
enakkkkkk;enak
enda;tidak
eneg;enek
enggak;tidak
espektasi;ekspektasi
faham;paham
fapat;dapat
fb;facebook
gaannnnnn;gan
gabakalan;tidak bakalan
gajelass;tidak jelas
gakbau;tidak bau
gakpang;gampang
gambr;gambar
garcep;gercep
gasssss;gas
gatel;gatal
gedee;gede
gemoy;gemoi
gercepp;gercep
ggigi;gigi
giiilllaa;gila
goodjob;good job
greacep;gercep
halooooooo;halo
handphone;hp
hangaaatt;hangat
harganyaaa;harganya
hargax;harganya
harusny;harusnya
haruss;harus
haruum;harum
hatur nuhun;terima kasih
hjn;hujan
hrg;harga
hrga;harga
hrganya;harganya
hrpkn;harapkan
hrpn;harapan
huat;buat
icip;cicip
ijin;izin
ijo;hijau
iklaaan;iklan
ikutin;ikuti
imuts;imut
indak;tidak
iniiii;ini
instropeksi;introspeksi
jafi;jadi
jagan;jangan
jait;jahit
jaitan;jahitan
jaman;zaman
jangansampai;jangan sampai
jatuhny;jatuhnya
jdnya;jadinya
jerni;jernih
jgaa;juga
jgaaaaa;juga
jht;jahat
joba;coba
jugaaaaa;juga
junlah;jumlah
jmantab;mantap
kadaluarsa;kedaluwarsa
kadaluarsanya;kedaluwarsanya
kaga;tidak
kalaumau;kalau mau
kaliiiii;kali
kalinyaa;kalinya
kalo;kalau
kaos;kaus
kasiiiiih;kasih
karwna;karena
kasihbpengiriman;kasih pengiriman
kaw;kw
kawatir;khawatir
kayanya;kayaknya
kayk;kayak
kcptn;kecepatan
kcuali;kecuali
kebaca;terbaca
kebuang;terbuang
kebuka;terbuka
kecewan;kecewa
kecilin;kecilkan
kecill;kecil
kekcilan;kekecilan
kekecilin;kekecilan
kekuranganya;kekurangannya
kelassssssss;kelas
kelean;kalian
kelen;kalian
kelupas;mengelupas
kenaoa;kenapa
kenceng;kencang
kereeenn;keren
kereen;keren
kereens;keren
kerennnnnnnnnnnnnn;keren
keriga;ketiga
keringgg;kering
kermh;kerumah
kerreeennn;keren
kesalahn;kesalahan
keterngannya;keterangannya
keti;ketiak
kgk;tidak
kimunikatif;komunikatif
kiraen;kirain
kirimjg;kirim juga
kkciiiilllll;kecil
klhtan;kelihatan
kmbli;kembali
kmudian;kemudian
knap;kenapa
knapa;kenapa
kototr;kotor
krannya;kerannya
krdus;kardus
kren;keren
krg;kurang
kuakitas;kualitas
kualiatasnya;kualitasnya
kuallita;kualitas
kuang;kurang
kuatir;khawatir
kuleb;kurleb
kumplit;komplit
kuramg;kurang
kurleb;kurang lebih
kureng;kurang
kurr;kurir
kwaliatas;kualitas
kwalitas;kualitas
emaa;emas
lancarrr;lancar
lakuemaslakuemaslakuemaslakuemaslakuemas;laku emas
langanan;langganan
langgananan;langganan
langgganan;langganan
langs;langsung
langsng;langsung
langsunh;langsung
lansung;langsung
lantjar;lancar
larena;karena
lbhh;lebih
lebgkap;lengkap
lebi;lebih
lebib;lebih
lemhut;lembut
lucuuuuk;lucu
lumayam;lumayan
lumayanenak;lumayan enak
lumyan;lumayan
lurusinnya;meluruskannya
maaci;terima kasih
maen;main
makacii;terima kasih
makash;terima kasih
makasi;terima kasih
makasihh;terima kasih
makasii;terima kasih
makasiih;terima kasih
makasiihh;terima kasih
makasiihhb;terima kasih
makasiii;terima kasih
makenya;memakainya
maknyos;maknyus
maks;maksimal
makyus;maknyus
mamgtap;mantap
mamtap;mantap
manah;mana
mangkok;mangkuk
mangtab;mantap
manjangin;memanjangkan
mankabbbss;mantap
mannttaaabbb;mantap
manrabbb;mantap
manta;mantap
mantaa;mantap
mantaffffffn;mantap
mantaaaaaaaaap;mantap
mantaaaaapppppp;mantap
mantaaaaaaap;mantap
mantaaaaaab;mantap
mantaaaaaap;mantap
mantaaaaaapp;mantap
mantaaaaap;mantap
mantaaaab;mantap
mantaaaap;mantap
mantaaaapppp;mantap
mantaaaapppppp;mantap
mantaaab;mantap
mantaaabbbbbbbb;mantap
mantaaaff;mantap
mantaaappp;mantap
mantaaapppp;mantap
mantaab;mantap
mantaabb;mantap
mantaabbbb;mantap
mantaafff;mantap
mantaapp;mantap
mantaapppp;mantap
mantab;mantap
mantab;mantap
mantabb;mantap
mantabbp;mantap
mantabbb;mantap
mantabbbb;mantap
mantabbbbbb;mantap
mantabbssss;mantap
mantabh;mantap
mantablah;mantaplah
mantabs;mantap
mantabss;mantap
mantabsss;mantap
mantabz;mantap
mantabzz;mantap
mantaf;mantap
mantafff;mantap
mantafs;mantap
mantap;mantap
jiwaaa;jiwa
mantapb;mantap
mantaphh;mantap
mantapppp;mantap
mantaaaapp;mantap
mantappppp;mantap
mantappppppp;mantap
mantappppppppp;mantap
mantappppppppppp;mantap
mantapps;mantap
mantaps;mantap
mantapss;mantap
mantapssss;mantap
mantapu;mantap
mantapzz;mantap
mantatap;mantap
mantav;mantap
mantebbb;mantap
mantebs;mantap
manteeb;mantap
manteeeep;mantap
manteeeepp;mantap
manteeep;mantap
manteeepp;mantap
manteo;mantap
manteppppp;mantap
mantepss;mantap
manthap;mantap
mantjab;mantap
mantlapp;mantap
mantp;mantap
mantrraaaabbbbb;mantap
mantull;mantul
mantuuuul;mantul
mantulll;mantul
mantullll;mantul
mantulllll;mantul
mantuls;mantul
mantuuull;mantul
mantuuulll;mantul
matab;mantap
matap;mantap
matrial;material
matrialnya;materialnya
mayanlah;lumayanlah
mazang;masang
mbtp;mantap
mebunjukan;menunjukkan
melembabkan;melembapkan
membetuk;membentuk
memcahkan;memecahkan
memgingat;mengingat
memuasken;memuaskan
memuaskn;memuaskan
mendem;mendam
menrawang;menerawang
menurutt;menurut
menyalaaa;menyala
merespin;merespons
merespon;merespons
meriaaah;meriah
mevvah;mewah
mgelihat;melihat
mhn;mohon
mimin;admin
miminnya;adminnya
mkaasih;terima kasih
mkasi;terima kasih
mkasih;terima kash
mkasiih;terima kasih
mkch;terima kasih
mksi;terima kasih
mmin;admin
mncari;mencari
mncul;muncul
mndarat;mendarat
mndingan;mendingan
mngkn;mungkin
mntap;mantap
mntep;mantap
mntp;mantap
mnurut;menurut
mnurutku;menurutku
moga2;semoga
moso;masa
motifasi;motivasi
mrnghabiskan;menghabiskan
msg;masing
msi;masih
muaat;muat
muantab;mantap
muantabs;mantap
muantappp;mantap
muantttaaaap;mantap
mudha;mudah
muluss;mulus
mumer;murmer
mungkinkalau;mungkin kalau
mungkinkarena;mungkin karena
muraaah;murah
muraah;murah
muraahh;murah
murahh;murah
mureehh;murah
naikin;menaikkan
nasip;nasib
nemenin;menemani
ngabisin;menghabiskan
ngajukan;mengajukan
ngalamin;mengalami
ngambil;mengambil
nganter;mengantar
ngaruh;berpengaruh
ngebassssss;ngebas
ngebosenin;membosankan
ngebuka;membuka
ngebuttt;negbut
ngecas;mengecas
ngecewain;mengecewakan
ngehapusnya;menghapusnya
ngelebihin;melebihkan
ngelembabin;melembapkan
ngelupas;mengelupas
ngepas;mengepas
ngerakitnya;merakitnya
ngerapiin;merapikan
ngerekat;merekat
ngerutinin;merutinkan
nggakjadi;enggak jadi
nggantung;gantung
ngirimnya;mengirimnya
ngisi;mengisi
ngoten;mengonten
ntaps;mantap
nyalain;menyala
nyalurin;menyalurkan
nyamaaan;nyaman
nyambungin;menyambungkan
nyampai;sampai
nyampe;sampai
nyampek;sampai
nyampenya;sampainya
nyangkut;menyangkut
nyantai;menyantai
nyantumin;mencantumkan
nyarik;mencari
nyelip;menyelip
nyetak;mencetak
nyetrika;menyetrika
nymn;nyaman
nympe;sampai
oanas;panas
oasang;pasang
oatah;patah
oek;oke
oembelian;pembelian
oengiriman;pengiriman
oesanan;pesanan
okay;oke
okee;oke
okeee;oke
okeeeee;oke
okeeeeeee;oke
okehhh;oke
okehlah;okelah
okela;okelah
okelahh;okelah
oker;oke
okesih;oke sih
okey;oke
okey;oke
okk;oke
okke;oke
okkee;oke
okkk;oke
okky;oke
okok;oke
oks;oke
packet;paket
pakett;paket
pakoknya;pokoknya
palanya;kepalanya
panassss;panas
panjangggg;panjang
paraaaaah;parah
paraaaahhh;parah
passss;pas
pasbanget;pasbanget
pebgiriman;pengiriman
peforma;performa
pegamg;pegang
pelayanna;pelayanan
pemaikaian;pemakaian
pendekin;memendekan
pengiraman;pengiriman
pegiriman;pengiriman
pengiran;pengiriman
pesaman;pesanan
pesanankuu;pesananku
pesenan;pesanan
perlayanan;pelayanan
pesana;pesanan
pesanaaaaaaan;pesanan
pesanann;pesanan
pesann;pesanan
pesannlagi;pesan lagi
pkokoknya;pokoknya
pesenan;pesanan
pesennya;pesannya
pesn;pesan
pessnsn;pesanan
petosopyg;petosop yang
pgiriman;pengiriman
pingin;pengin
pinginnya;penginnya
pingiriman;pengiriman
pngiriman;pengiriman
pket;paket
pkir;pikir
pkkokknya;pokoknya
pkok;pokok
pkonya;pokoknya
pkt;paket
pokokx;pokoknya
polyester;poliester
pokoe;pokok
pokoke;pokoknya
pokokeok;pokok
pokoknyaaa;pokoknya
pokona;pokoknya
pokonya;pokoknya
pokonyaaa;pokoknya
ponaan;ponakan
pralon;paralon
produkny;produknya
produknyaa;produknya
produks;produk
professional;profesional
prosesss;proses
pua;puas
puaaas;puas
puass;puas
puasss;puas
puassss;puas
puassssaa;puas
puasssss;puas
pungsi;fungsi
punyaa;punya
putihh;putih
putsal;futsal
puuaaass;puas
qw;aku
prtama;pertama
prtama;pertama
pruduknya;produknya
psanan;pesanan
psang;pasang
psng;pasang
rasany;rasanya
rafi;rapi
rakittttt; rakit
ramahh;ramah
ramahhh;ramah
ramahhhhh;ramah
rapihh;rapi
rapii;rapi
rbuan;ribuan
reami;resmi
rebu;ribu
rebuan;ribuan
rekomen;rekomendasi
resliting;ritsleting
responsip;responsif
rqpi;rapi
salute;salut
sajadahya;sajadahnya
samoai;sampai
samoe;sampai
sampaii;sampai
sampaiiiii;sampai
sampaindengan;sampai dengan
sampay;sampai
sampeee;sampai
sampeeee;sampai
sampeknya;sampainya
sampenya;sampainya
samsek;sama sekali
sangaaaaaat;sangat
sangaat;sangat
saudah;sudah
sayaangnya;sayangnya
sayangnh;sayangnya
sayangny;sayangnya
seblm;sebelum
sejadah;sajadah
sejadahnya;sajadahnya
sekalihhh;sekali
sekalihhhhhhhhhhhhhhhh;sekali
sekaliii;sekali
sekaliiiiiiiiii;sekali
sekaliiiiiiiiiiiiiiiiiii;sekali
sekli;sekali
semuaa;semua
semuany;semuanya
senangnyaaaa;senangnya
senengnya;senangnya
senengnya;senangnya
seomga;semoga
sesaui;sesuai
seseuai;sesuai
sesua;sesuai
sesuaai;sesuai
sesuaii;sesuai
sesuaiii;sesuai
sesuaiiii;sesuai
sesuaiiiiii;sesuai
sesuaiiiiiii;sesuai
sesuay;sesuai
sesue;sesuai
sesuey;sesuai
sesui;sesuai
sesusi;sesuai
sesusuai;sesuai
sesuwae;sesuai
sesuwai;sesuai
seusai;sesuai
sexali;sekali
sililonya;silikonnya
sippp;sip
sipppp;sip
siiiiiiiiipppp;sip
sisah;sisa
sisini;disini
sjadah;sajadah
slaluu;selalu
smape;sampai
sminggu;seminggu
smoga;semoga
smogq;semoga
smpainya;sampainya
smpat;sempat
smpenya;sampainya
smpi;sampai
smuanya;semuanya
sngat;sangat
sodara;saudara
sosmed;sosial media
splusi;solusi
srlalubekerja;selalu bekerja
srmoga;semoga
ssngat;sangat
ssuai;sesuai
steples;staples
sugab;bagus
sukakk;suka
sumpahhhhh;sumpah
superb;super
superrr;super
susahhh;susah
suskes;sukses
susuai;sesuai
syekali;sekali
syudah;sudah
syuka;suka
syukaa;suka
tadii;tadi
tajem;tajam
tanggapdan;tanggap dan
