slang;formal
berulanh;berulang
bet;banget
betuls;betul
bggt;banget
bggttt;banget
bgr;Bogor
bgth;banget
bgtkaya;banget kayak
bgtz;banget
bgusss;bagus
bguz;bagus
bhan;bahan
bhat;buat
biak;baik
biarbterhalang;biar terhalang
binun;bingung
birdong;biru dongker
biruu;biru
bissmillah;bismillah
biyar;biar
bjirrr;bjir
blanja;belanja
blend;blender
blendnya;campurnya
blumm;belum
bmyk;banyak
bneran;beneran
bngat;banget
bochel;bocil
bochor;bocor
bocilq;bocilku
boksnya;kardusnya
bolongin;membolongi
bongkae;bongkar
bonusan;bonus
bonusannya;bonusnya
boongan;bohong
booosss;bos
boos;bos
bosque;bosku
boss;bos
bossku;bosku
bosss;bos
boz;bos
bqgus;bagus
brang;barang
bray;kawan
bre;kawan
brg;barang
brgnya;barangnya
brmanfaat;bermanfaat
brng;barang
brngnya;barangnya
bro;kawan
broo;kawan
brooo;kawan
bruntusan;beruntusan
bruntusanku;beruntusanku
bsknya;besoknya
buagus;bagus
buaguss;bagus
buaik;baik
buangetz;banget
buatnlrmpar;buat lempar
bukaannya;bukannya
bukujya;bukunya
bukuu;buku
buleta;buletan
butex;butek
bwangg;bang
bykkk;banyak
cacad;cacat
cakeeeeeeeep;cakep
cakeeeppp;cakep
cakeppp;cakep
cakeppppp;cakep
cakeppppppp;cakep
cakeup;cakep
cakeuppp;cakep
capat;cepet
capekk;capek
cassannya;pengisi daya
cck;cocok
ccooooiiii;coy
cekaliiii;sekali
celanan;celana
celananyaa;celananya
celat;cepat
ceoet;cepat
cepa;cepat
cepaaaaaaat;cepat
cepaaaat;cepat
cepaat;cepat
cepaattt;cepat
cepaet;cepat
cepatt;cepat
cepatttt;cepat
cepattttttt;cepat
cepay;cepat
cepeettt;cepat
cepet;cepat
cepetttttttt;cepat
cepppaaattt;cepat
cept;cepat
ceritain;ceritakan
ceritain;ceritakan
choy;coy
ciamikkk;ciamik
ciwi;cewek
ciyus;serius
ckep;cakep
clna;celana
cobainnn;mencoba
cocokk;cocok
cocoookk;cocok
cocoookkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk?kkkkkkkkkkk;cocok
coklat;cokelat
coooyy;coy
coplok;copot
cot;cepat
coy;coy
cpat;cepat
cptbgt;cepat banget
crtanya;ceritanya
cucok;cocok
cucoks;cocok
cuepet;cepat
cuyy;cuy
cuyyyyy;cuy
daaahhhh;udah
daapt;dapat
dab;dan
dahhhhh;dah
dak;tidak
dalem;dalam
dalemannya;dalamannya
dalemnya;dalamnya
dalemnya;dalamnya
dam;dan
dangaaan;dengan
dangat;sangat
dannn;dan
dansangat;dan sangat
dapam;dalam
dapetnya;dapatnya
dariindia;dari india
datengnya;datangnya
datng;datang
datngnya;datangnya
datsng;datang
dbawa;dibawa
dcoba;dicoba
deakripsi;deskripsi
dekorny;dekornya
dekripsi;deskripsi
deksripsi;deskripsi
demgan;dengan
denggan;dengan
deskribsi;deskripsi
deskripai;deskripsi
deskrisi;deskripsi
deskrpsi;deskripsi
dezkripsi;deskripsi
diaktifin;diaktifkan
diaktivasi;diaktivasi
diapkek;dipakai
diapsang;dipasang
dibandingin;dibandingkan
dibatalin;dibatalkan
dibenerin;dibenarkan
dibetulin;diperbaiki
dibgunakan;digunakan
dibingkus;dibungkus
dibolongin;dibplongi
diboongin;dibohongi
dicairin;dicairkan
diciba;di coba
dicobaa;dicoba
dicobain;dicoba
didalemnya;didalamnya
difotokopi;difotokopi
diganjel;diganjal
diipakai;dipakai
diitubg;dihitung
diitung;dihitung
dijait;dijahit
dik;di
dikais;diberi
dikantongin;dikantongi
dikasi;dikasih
dikat;di ikat
dikbinasi;dikombinasi
dikecilin;dikecilkan
dikirimin;dikirimkan
dikomfirmasi;dikonfirmasi
dikrm;dikirim
dikurur;dikurir
dilipatgandakan;dilipat gandakan
dilipet;di lipat
diluarkota;diluar kota
dimainin;dimainkan
dimanapun;dimana pun
dimandiin;dimandikan
dimari;disini
dimatiin;dimatikan
dimintain;diminta
dindalemnya;didalamnya
dinginnn;dingin
dinyalain;dinyalakan
dipakaii;dipakai
dipakainua;dipakainya
dipakein;dipakai
dipakenya;dipakainya
dipengiriman;dipengiriman
diperhatiin;diperhatikan
diplastikin;diplastik
dipraktekkan;dipraktikkan
dipulangin;dipulangkan
diputer;diputar
dirapihkan;dirapikan
direspon;direspons
disambungin;disambungkan
disaranin;disarankan
diseesuai;disesuaikan
disemprotin;disemprotkan
disimpen;disimpan
disink;disini
diskripsi;deskripsi
disnya;dusnya
ditambahin;ditambahkan
diteeima;diterima
diteken;ditekan
ditelfon;ditelepon
ditempelin;ditempelkan
ditggu;ditunggu
ditidurin;ditidurkan
ditinggkatkan;ditingkatkan
ditrima;diterima
ditrm;diterima
dituker;ditukar
diturutin;dituruti
dkasih;dikasih
dkirim;dikirim
dkrim;dikirim
dkt;dekat
dll;dan lain lain
dmakan;dimakan
dmobil;dimobil
dn;dan
dngn;dengan
doangg;doang
doble;dobel
dos;dus
dpake;dipakai
dpat;dapat
dpencet;dipencet
dpet;dapat
dqri;dari
dspet;dapat
dsri;dari
dst;dan seterusnya
dtang;datang
dtgnya;datangnya
dtng;datang
durennya;duriannya
dus;kardus
efekny;efeknya
ekpektasi;ekspektasi
ekpestasi;ekspektasi
ekpetasi;ekspektasi
eksim;eksem
ekspesitas;ekspektasi
ekspetasi;ekspektasi
ekspetasiii;ekspektasi
emaa;emas
emaknya;ibunya
empukkk;empuk
enaaaaak;enak
enaaak;enak
enaak;enak
enah;entah
enakk;enak
enakkk;enak
enakkkk;enak
enakkkkkk;enak
enda;tidak
eneg;enek
enggak;tidak
ente;kamu
eprlu;perlu
esangat ;sangat
espektasi;ekspektasi
expectasi;ekspektasi
expedisi;ekspedisi
expedisinya;ekspedisinya
expektasi;ekspektasi
expetasi;ekspektasi
expextasi;ekspektasi
faham;paham
fapat;dapat
fav;favorit
fb;facebook
fotocopy;fotokopi
fotocopyannya;fotokopinya
fotokopi;fotokopi
fotokopian;fotokopi
freeongkir;free ongkir
gaada;tidak ada
gaannnnnn;gan
gabakalan;tidak bakalan
gabikin;tidak bikin
gajelass;tidak jelas
gakbau;tidak bau
gakpang;gampang
gambr;gambar
gamoang;gampang
gamungkin;tidak mungkin
gandoos;gandos
gandoss;gandos
gandosss;gandos
ganyangka;tidak menyangka
gapapa;tidak apa apa
gapapa;tidak apa apa
gaperlu;tidak perlu
gaperna;tidak pernah
garcep;gercep
gasssss;gas
gasuka;tidak suka
gatel;gatal
gedee;gede
gemes;gemas
gemesin;menggemaskan
gemoy;gemoi
gercepp;gercep
ggigi;gigi
giiilllaa;gila
gokss;gokil
gokzzzzz;gokil
Gokzzzzz;gokil
goodbgt;good banget
goodjob;good job
gorengaannn;gorengan
gosah;tidak usah
greacep;gercep
gua;aku
gunain;gunakan
haduh;aduh
halooooooo;halo
handphone;hp
hangaaatt;hangat
hany;hanya
hanyarl;hanya
hape;hp
haraga;harga
harganyaaa;harganya
hargapun;harga pun
hargax;harganya
harusny;harusnya
haruss;harus
haruum;harum
hatur nuhun;terima kasih
haturkan;sampaikan
hidupin;hidupkan
hjn;hujan
hrg;harga
hrga;harga
hrganya;harganya
hrpkn;harapkan
hrpn;harapan
huat;buat
icip;cicip
ijin;izin
ijo;hijau
iklaaan;iklan
ikutin;ikuti
imuts;imut
indak;tidak
iniiii;ini
instropeksi;introspeksi
itungannya;hitungannya
jafi;jadi
jagan;jangan
jait;jahit
jaitan;jahitan
jaman;zaman
jangansampai;jangan sampai
jatuhny;jatuhnya
jdnya;jadinya
jerni;jernih
jgaa;juga
jgaaaaa;juga
jht;jahat
jiwaaa;jiwa
jmantab;mantap
joba;coba
joooozzzz;jos
jooossssss;jos
josgandos;jos gandos
josh;jos
joss;jos
josshh;jos
josss;jos
jossslah;jos
jossss;jos
josssss;jos
jossssss;jos
jossssssssss;jos
joz;jos
jozzz;jos
juaaaraaa;juara
juaraaaa;juara
jugaa;juga
jugaaaaa;juga
junlah;jumlah
juossss;jos
kadaluarsa;kedaluwarsa
kadaluarsanya;kedaluwarsanya
kaga;tidak
kalaumau;kalau mau
kaliiiii;kali
kalinyaa;kalinya
kalo;kalau
kalopun;kalaupun
kaos;kaus
karwna;karena
kasihbpengiriman;kasih pengiriman
kasihh;kasih
kasihs;kasih
kasiiiiih;kasih
katakananya;katakannya
kaw;kw
kawatir;khawatir
kayanya;kayaknya
kayk;kayak
kcptn;kecepatan
kcuali;kecuali
kebaca;terbaca
kebeli;membeli
kebuang;terbuang
kebuka;terbuka
kebuka;terbuka
kecewan;kecewa
kecilin;kecilkan
kecill;kecil
kekcilan;kekecilan
kekecilin;kekecilan
kekuranganya;kekurangannya
kelassssssss;kelas
kelean;kalian
kelen;kalian
kelupas;mengelupas
kenaoa;kenapa
kenceng;kencang
kendor;kendur
kepake;terpakai
kepakeeee;terpakai
kepengen;ingin
kereeenn;keren
kereen;keren
kereens;keren
kerennnnnnnnnnnnnn;keren
keriga;ketiga
keringgg;kering
kerjasamanya;kerja samanya
kermh;kerumah
kerreeennn;keren
kesalahn;kesalahan
kesel;kesal
keselip;terselip
keterngannya;keterangannya
keti;ketiak
kgk;tidak
kimunikatif;komunikatif
kiraen;kirain
kirimjg;kirim juga
kkciiiilllll;kecil
kkrgan;kekurangan
klhtan;kelihatan
kmbli;kembali
kmudian;kemudian
knap;kenapa
knapa;kenapa
kokokh;kokoh
komplek;kompleks
komplen;komplain
komplin;komplain
komplit;komplet
komplit;komplet
kondisibrussk;kondisi rusak
konfimasi;konfirmasi
kordinasi;koordinasi
korekapielektriknya;korek api elektriknya
kototr;kotor
krannya;kerannya
krdus;kardus
kren;keren
krg;kurang
ksh;kasih
ksi;kasih
ksong;kosong
kuakitas;kualitas
kualias;kualitas
kualiatasnya;kualitasnya
kuallita;kualitas
kuang;kurang
kuatir;khawatir
kudu;harus
kuleb;kurleb
kulitt;kulit
kullirr;kurir
kumel;kumal
kumplit;komplit
kuramg;kurang
kureng;kurang
kuriri;kurir
kurleb;kurang lebih
kurleb;kurang lebih
kurr;kurir
kuuu;ku
kuuuh;ku
kwaliatas;kualitas
kwalitas;kualitas
kwalitas;kualitas
kwalitasnya;kualitasnya
kwantitas;kuantitas
kwintal;kuintal
lagiiiiiiii;lagi
lakuemas;laku emas
lakuemaslakuemaslakuemaslakuemaslakuemas;laku emas
lamaa;lama
lamaaa;lama
lamaaaaa;lama
lancaarr;lancar
lancarr;lancar
lancarrr;lancar
langanan;langganan
langgananan;langganan
langgganan;langganan
langs;langsung
langsng;langsung
langsunh;langsung
lansung;langsung
lantjar;lancar
larena;karena
lbhh;lebih
lebgkap;lengkap
lebi;lebih
lebib;lebih
leh;boleh
lembab;lembap
lemhut;lembut
leptop;laptop
lipet;lipat
lmbat;lambat
lmbr;lembar
lmyan;lumayan
lmyn;lumayan
lngganan;langganan
lngsg;langsung
lobang;lubang
lqma;lama
lrbih;lebih
lsgi;lagi
lsng;langsung
lualitas;kualitas
luamaaaaaaaa;lama
luamg;luang
luarbiasa;luar biasa
lubangi;dilubangi
lucin;licin
lucuuuuk;lucu
lumayam;lumayan
lumayanenak;lumayan enak
lumayannj;lumayan
lumyan;lumayan
lunturrrrr;luntur
lurusinnya;meluruskannya
maaantap;mantap
maaci;terima kasih
maen;main
makacii;terima kasih
makash;terima kasih
makasi;terima kasih
makasihh;terima kasih
makasii;terima kasih
makasiih;terima kasih
makasiihh;terima kasih
makasiihhb;terima kasih
makasiii;terima kasih
makenya;memakainya
maknyos;maknyus
maks;maksimal
makyus;maknyus
mamgtap;mantap
mamtap;mantap
manah;mana
manap;mantap
mangkok;mangkuk
mangtab;mantap
manjangin;memanjangkan
mankabbbss;mantap
mannttaaabbb;mantap
manrabbb;mantap
manta;mantap
mantaa;mantap
mantaaaaaaaaap;mantap
mantaaaaaaap;mantap
mantaaaaaab;mantap
mantaaaaaap;mantap
mantaaaaaapp;mantap
mantaaaaap;mantap
mantaaaaapppppp;mantap
mantaaaab;mantap
mantaaaap;mantap
mantaaaapp;mantap
mantaaaapppp;mantap
mantaaaappppp;mantap
mantaaaapppppp;mantap
mantaaab;mantap
mantaaabbbbbbbb;mantap
mantaaaff;mantap
mantaaappp;mantap
mantaaapppp;mantap
mantaab;mantap
mantaabb;mantap
mantaabbbb;mantap
mantaafff;mantap
mantaapp;mantap
mantaapppp;mantap
mantab;mantap
mantab;mantap
mantabb;mantap
mantabbb;mantap
mantabbbb;mantap
mantabbbbbb;mantap
mantabbp;mantap
mantabbsss;mantap
mantabbssss;mantap
mantabh;mantap
mantablah;mantaplah
mantabs;mantap
mantabss;mantap
mantabsss;mantap
mantabz;mantap
mantabzz;mantap
mantaf;mantap
mantafff;mantap
mantaffffffn;mantap
mantafn;mantap
mantafs;mantap
mantao;mantap
mantap;mantap
mantapb;mantap
mantaphh;mantap
mantappissan;mantap banget
mantappp;mantap
mantapppp;mantap
mantappppp;mantap
mantappppppp;mantap
mantappppppppp;mantap
mantappppppppppp;mantap
mantapps;mantap
mantaps;mantap
mantapss;mantap
mantapssss;mantap
mantapu;mantap
mantapzz;mantap
mantatap;mantap
mantav;mantap
mantebbb;mantap
mantebs;mantap
manteeb;mantap
manteeeep;mantap
manteeeepp;mantap
manteeep;mantap
manteeepp;mantap
manteo;mantap
manteppppp;mantap
mantepss;mantap
manthap;mantap
mantjab;mantap
mantlapp;mantap
mantp;mantap
mantrraaaabbbbb;mantap
mantull;mantul
mantulll;mantul
mantullll;mantul
mantulllll;mantul
mantuls;mantul
mantuuull;mantul
mantuuulll;mantul
mantuuuul;mantul
mash;masih
matab;mantap
matap;mantap
mateng;matang
matiin;mematikan
matiinya;matinya
matrial;material
matrial;material
matrialnya;materialnya
maturnuwun;terima kasih
mayanlah;lumayanlah
mazang;masang
mbtp;mantap
mdh;mudah
mdh;mudah
mebunjukan;menunjukkan
mefet;mepet
meledagh;meledak
melembabkan;melembapkan
melembabkan;melembapkan
membetuk;membentuk
memcahkan;memecahkan
memgingat;mengingat
memuasken;memuaskan
memuaskn;memuaskan
mencetnya;memencet
mendem;mendam
mengantri;mengantre
mengkilap;mengilap
menrawang;menerawang
menurutt;menurut
menyalaaa;menyala
meresappp;meresap
merespin;merespons
merespon;merespons
meriaaah;meriah
mesen;pesan
mesennya;memasannya
mesn;mesin
mevvah;mewah
mgelihat;melihat
mhn;mohon
mie;mi
mimin;admin
miminnya;adminnya
min;admin
minesnya;minusnya
minesnya;minusnya
minn;admin
minnn;admin
minnnn;admin
minumnyaaa;minumnya
minusny;minusnya
mkaasih;terima kasih
mkasi;terima kasih
mkasih;terima kash
mkasiih;terima kasih
mkch;terima kasih
mkn;makan
mks;terima kasih
mksi;terima kasih
mmin;admin
mncari;mencari
mncul;muncul
mndarat;mendarat
mndingan;mendingan
mngkn;mungkin
mntap;mantap
mntep;mantap
mntp;mantap
mnurut;menurut
mnurutku;menurutku
moga2;semoga
moso;masa
motifasi;motivasi
mrnghabiskan;menghabiskan
msg;masing
msi;masih
muaat;muat
muantab;mantap
muantabs;mantap
muantap;mantap
muantappp;mantap
muantttaaaap;mantap
mudha;mudah
muluss;mulus
mumer;murmer
mungkinkalau;mungkin kalau
mungkinkarena;mungkin karena
muraaah;murah
muraah;murah
muraahh;murah
murahh;murah
mureehh;murah
muter;memutar
nabung;menabung
naikin;menaikkan
naro;taruh
naruh;taruh
nasip;nasib
nekan;tekan
nekuk;tekuk
nembus;menembus
nemenin;menemani
nemplok;menemplok
nemu;ketemu
nenangin;menenangkan
nerka;terka
ngabisin;menghabiskan
ngajukan;mengajukan
ngalamin;mengalami
ngambil;mengambil
ngancing;mengancing
nganter;mengantar
ngaruh;berpengaruh
ngasal;mengasal
ngebaca;membaca
ngebassssss;ngebas
ngebosenin;membosankan
ngebuka;membuka
ngebuttt;negbut
ngecas;mengecas
ngecewain;mengecewakan
ngecewakan;mengecewakan
ngedrop;mengedrop
ngehapusnya;menghapusnya
ngelebihin;melebihkan
ngelembabin;melembapkan
ngelupas;mengelupas
ngepas;mengepas
ngerakitnya;merakitnya
ngerapiin;merapikan
ngerekat;merekat
ngerutinin;merutinkan
nggakjadi;enggak jadi
nggantung;gantung
ngirimnya;mengirimnya
ngisi;mengisi
ngoten;mengonten
nomer;nomor
ntaps;mantap
nugas;menugas
nunda;menunda
nungguin;menunggu
nunnggu;nunggu
nyalain;menyala
nyalurin;menyalurkan
nyamaaan;nyaman
nyambungin;menyambungkan
nyampai;sampai
nyampe;sampai
nyampek;sampai
nyampenya;sampainya
nyangkut;menyangkut
nyantai;menyantai
nyantumin;mencantumkan
nyarik;mencari
nyelip;menyelip
nyesal;menyesal
nyesallll;menyesal
nyeseell;menyesal
nyetak;mencetak
nyetrika;menyetrika
nymn;nyaman
nympe;sampai
oanas;panas
oasang;pasang
oatah;patah
oek;oke
oembelian;pembelian
oengiriman;pengiriman
oesanan;pesanan
okay;oke
okee;oke
okeee;oke
okeeeee;oke
okeeeeeee;oke
okehhh;oke
okehlah;okelah
okela;okelah
okelahh;okelah
oker;oke
okesih;oke sih
okey;oke
okey;oke
okk;oke
okke;oke
okkee;oke
okkk;oke
okky;oke
okok;oke
oks;oke
ong;ongkir
orangtua;orang tua
originale;orisinal
orii;ori
otodidak;autodidak
packet;paket
pake;pakai
pakee;pakai
pakeet;paket
pakek;pakai
pakenya;pakainya
paketbtelah;paket telah
pakett;paket
pakety;paket
pakoknya;pokoknya
palanya;kepalanya
panassss;panas
panjangggg;panjang
paraaaaah;parah
paraaaahhh;parah
pasbanget;pasbanget
passss;pas
pebgiriman;pengiriman
peforma;performa
pegamg;pegang
pegiriman;pengiriman
peketnya;paketnya
pelangan;pelanggan
pelapakpun;pelapak pun
pelayana;pelayanan
pelayananan;pelayanan
pelayanna;pelayanan
pemaikaian;pemakaian
pemaikan;pemakaian
pembekian;pembelian
pembeliannselanjutnya;pembelian selanjutnya
pembeluan;pembelian
pemjual;penjual
pendekin;memendekan
penfiriman;pengiriman
pengantarannyabjuga;pengantarannya juga
pengenin;pengin
pengepakkan;pengepakan
penggunaanya;penggunaannya
pengiraman;pengiriman
pengiran;pengiriman
pengirimah;pengiriman
pengirimanny;pengirimannya
pengirimn;pengiriman
pengirimsn;pengiriman
pengiruman;pengiriman
pengok;penyok
penguriman;pengiriman
peniriman;pengiriman
penjilitannya;penjilidannya
penjualr;penjual
penjualramah;penjual ramah
penyokin;penyok
perfoma;performa
perlayanan;pelayanan
pesaman;pesanan
pesana;pesanan
pesanaaaaaaan;pesanan
pesanankuu;pesananku
pesanann;pesanan
pesann;pesanan
pesannlagi;pesan lagi
pesenan;pesanan
pesenan;pesanan
pesennya;pesannya
pesn;pesan
pessnsn;pesanan
petosopyg;petosop yang
pgiriman;pengiriman
pingin;pengin
pinginnya;penginnya
pingiriman;pengiriman
pisan;banget
pisan;sekali
pket;paket
pkir;pikir
pkkokknya;pokoknya
pkok;pokok
pkokoknya;pokoknya
pkonya;pokoknya
pkt;paket
plat;pelat
pmakaian;pemakaian
pnas;panas
pngiriman;pengiriman
pngirimn;pengiriman
pngriman;pengiriman
pngrman;pengiriman
pntg;penting
pny;punya
pokoe;pokok
pokoke;pokoknya
pokokeok;pokok
pokoknyaaa;pokoknya
pokokx;pokoknya
pokona;pokoknya
pokonya;pokoknya
pokonyaaa;pokoknya
poll;pol
polyester;poliester
ponaan;ponakan
poolll;pol
pooolllll;pol
postighan;postingan
potonganny;potongannya
pralon;paralon
produkny;produknya
produknyaa;produknya
produks;produk
professional;profesional
promoooooo;promo
prosesss;proses
prtama;pertama
prtama;pertama
pruduknya;produknya
psanan;pesanan
psang;pasang
psng;pasang
pua;puas
puaaas;puas
puass;puas
puasss;puas
puassss;puas
puassssaa;puas
puasssss;puas
pungsi;fungsi
punyaa;punya
punyailah;mempunyai
putihh;putih
putsal;futsal
puuaaass;puas
q;aku
qw;aku
rafi;rapi
rakittttt; rakit
ramahh;ramah
ramahhh;ramah
ramahhhhh;ramah
rapihh;rapi
rapii;rapi
rapu;rapuh
rasany;rasanya
rbuan;ribuan
reami;resmi
rebu;ribu
rebuan;ribuan
recomendasi;rekomendasi
rejekinya;rezekinya
rekomen;rekomendasi
rekomendes;rekomendasi
rendem;random
resletingnya;ritsletingnya
resletingnya;ritsletingnya
resliting;ritsleting
respon;respons
respon;respons
responsip;responsif
retsluiting;ritsleting
riber;ribet
ridak;tidak
rqpi;rapi
rrkomendasi;rekomendasi
rwspon;respon
saia;saya
sajadahny;sajadahnya
sajadahya;sajadahnya
salute;salut
samoai;sampai
samoe;sampai
sampaii;sampai
sampaiiiii;sampai
sampaindengan;sampai dengan
sampay;sampai
sampe;sampai
sampeee;sampai
sampeeee;sampai
sampeknya;sampainya
sampenya;sampainya
sampoo;sampo
sampsi;sampai
samsek;sama sekali
sangaaaaaat;sangat
sangaat;sangat
sangatcberguna;sangat berguna
sangsi;sanksi
saos;saus
saudah;sudah
sayaaaaa;saya
sayaangnya;sayangnya
sayangnh;sayangnya
sayangny;sayangnya
sbelumnya;sebelumnya
sbesar;sebesar
sblmnya;sebelumnya
sbnrnya;sebenarnya
sdgkan;sedangkan
seauai;sesuai
sebelym;sebelum
seblm;sebelum
seblum;sebelum
seboga;semoga
sediain;menyediakan
sedikitpun;sedikut pun
seduai;sesuai
seharunya;seharusnya
sejadah;sajadah
sejadahnya;sajadahnya
sekalihhh;sekali
sekalihhhhhhhhhhhhhhhh;sekali
sekaliii;sekali
sekaliiiiii;sekali
sekaliiiiiiiiii;sekali
sekaliiiiiiiiiiiiiiiiiii;sekali
sekli;sekali
sekluarga;sekeluarga
selalunmemuaskan;selalu memuaskan
selaluuuuu;selalu
seleler;seller
sellu;selalu
semebtara;sementara
semept;sempat
semiga;semoga
semogo;semoga
semopat;sempat
sempuran;sempurna
semuaa;semua
semuany;semuanya
senangnyaaaa;senangnya
seneng;senang
senengnya;senangnya
senengnya;senangnya
senterin;menyenteri
seomga;semoga
sepatuny;sepatunya
sepatunyaharga;sepatunya harga
sepeeti;seperti
sepeti;seperti
seppppppp;sip
sereh;serai
seringkali;sering kali
serumny;serumnya
seruuuuu;seru
servisk;servis
sesaui;sesuai
seseuai;sesuai
sesua;sesuai
sesuaai;sesuai
sesuaii;sesuai
sesuaiii;sesuai
sesuaiiii;sesuai
sesuaiiiiii;sesuai
sesuaiiiiiii;sesuai
sesuaindengaanoesanan;sesuai dengan pesanan
sesuay;sesuai
sesue;sesuai
sesuey;sesuai
sesui;sesuai
sesusai;sesuai
sesusi;sesuai
sesusuai;sesuai
sesuwae;sesuai
sesuwai;sesuai
setatus;status
setaun;setahun
setelahny;setelahnya
setelaj;setelah
setingin;setingan
setres;stres
setrikaan;setrikaan
setrikana;setrikaan
seuai;sesuai
seusai;sesuai
sexali;sekali
sgini;segini
sgitu;segitu
sgni;segini
sgr;segera
shampo;sampo
shampo;sampo
shampoo;sampo
shg;sehingga
siapapun;siapa pun
siapin;siapkan
sieh;sih
siiiiiiiiipppp;sip
siiiip;sip
siiip;sip
siiippp;sip
siipppp;sip
sikecil;si kecil
silelet;si lelet
sililonya;silikonnya
sinya;sinyal
sip lah;bagus
sipenjual;si penjual
siplah;sip
sippp;sip
sipppp;sip
sisah;sisa
sisini;disini
sjadah;sajadah
skrg;sekarang
slaluu;selalu
slang;formal
sleting;ritsleting
smape;sampai
sminggu;seminggu
smoga;semoga
smogq;semoga
smpainya;sampainya
smpat;sempat
smpenya;sampainya
smpi;sampai
smuanya;semuanya
sngat;sangat
sodara;saudara
sooppaann;sopan
sosmed;sosial media
souvenir;suvenir
splusi;solusi
sptnya;sepertinya
spty;sepertinya
srlalubekerja;selalu bekerja
srmoga;semoga
srmua;semua
ssngat;sangat
ssuai;sesuai
stalh;setelah
steples;staples
stokan;stok
stroom;setrum
suar;suara
suatw;suatu
sugab;bagus
sukakk;suka
sumpahhhhh;sumpah
sumut;sumatera utara
superb;super
superdupeelucuk;super duper lucu
superrr;super
suppeeerrr;super
susahhh;susah
suskes;sukses
susuai;sesuai
susuailah;sesuai
suwun;terima kasih
syekali;sekali
syrupnya;sirupnya
system;sistem
syudah;sudah
syuka;suka
